ID,Sex,Length(mm),Diameter(mm),Height(mm),Whole weight(g),Shucked weight(g),Viscera weight(g),Shell weight(g)
825,I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116
826,M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263
827,M,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121
828,I,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315
829,M,0.655,0.52,0.17,1.1445,0.53,0.223,0.348
830,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09
831,M,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348
832,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08
833,I,0.355,0.255,0.08,0.187,0.078,0.0505,0.058
834,F,0.64,0.49,0.18,1.36,0.653,0.347,0.305
835,M,0.655,0.52,0.18,1.492,0.7185,0.36,0.355
836,M,0.545,0.41,0.14,0.737,0.349,0.15,0.212
837,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175
838,M,0.54,0.42,0.12,0.8115,0.392,0.1455,0.2235
839,M,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117
840,I,0.44,0.325,0.09,0.35,0.148,0.067,0.105
841,F,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355
842,F,0.46,0.355,0.13,0.458,0.192,0.1055,0.13
843,F,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5
844,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13
845,M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24
846,M,0.56,0.45,0.145,0.894,0.3885,0.2095,0.264
847,I,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425
848,I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815
849,I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041
850,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175
851,F,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945
852,I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05
853,F,0.45,0.36,0.11,0.447,0.203,0.082,0.13
854,M,0.555,0.455,0.135,0.837,0.382,0.171,0.235
855,M,0.63,0.49,0.165,1.2005,0.575,0.273,0.294
856,I,0.405,0.305,0.1,0.268,0.1145,0.053,0.085
857,F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28
858,F,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205
859,M,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515
860,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33
861,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15
862,F,0.52,0.395,0.18,0.64,0.158,0.11,0.245
863,F,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365
864,F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175
865,M,0.35,0.26,0.09,0.198,0.0725,0.056,0.06
866,I,0.395,0.29,0.095,0.319,0.138,0.08,0.082
867,M,0.5,0.41,0.15,0.662,0.2815,0.137,0.22
868,M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225
869,F,0.58,0.435,0.15,0.834,0.428,0.1515,0.23
870,F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25
871,F,0.67,0.585,0.16,1.309,0.5445,0.2945,0.413
872,F,0.54,0.475,0.155,0.928,0.394,0.194,0.26
873,M,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06
874,I,0.475,0.365,0.125,0.5465,0.229,0.1185,0.172
875,M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355
876,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205
877,M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292
878,F,0.72,0.565,0.18,1.719,0.8465,0.407,0.3875
879,M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665
880,I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062
881,F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08
882,I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169
883,F,0.635,0.52,0.165,1.3405,0.5065,0.296,0.412
884,I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16
885,F,0.655,0.5,0.18,1.4155,0.508,0.314,0.445
886,M,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37
887,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155
888,M,0.57,0.45,0.155,1.1935,0.513,0.21,0.343
889,I,0.53,0.42,0.185,0.752,0.299,0.156,0.205
890,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37
891,M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657
892,I,0.51,0.405,0.12,0.61,0.229,0.131,0.235
893,F,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04
894,M,0.615,0.47,0.175,1.242,0.5675,0.287,0.317
895,F,0.595,0.475,0.165,1.148,0.444,0.214,0.37
896,F,0.625,0.49,0.155,1.33,0.6675,0.259,0.33
897,I,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24
898,I,0.56,0.44,0.155,0.811,0.3685,0.178,0.235
899,M,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085
900,I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141
901,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17
902,I,0.575,0.45,0.125,0.78,0.3275,0.188,0.235
903,F,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275
904,F,0.455,0.375,0.125,0.458,0.1985,0.111,0.12
905,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125
906,I,0.435,0.33,0.105,0.335,0.156,0.0555,0.105
907,I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097
908,I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405
909,M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3
910,M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555
911,M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815
912,I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335
913,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275
914,M,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485
915,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15
916,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27
917,I,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075
918,I,0.5,0.4,0.12,0.616,0.261,0.143,0.1935
919,M,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105
920,M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27
921,I,0.375,0.3,0.075,0.144,0.059,0.03,0.044
922,I,0.435,0.335,0.1,0.3295,0.129,0.07,0.11
923,I,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775
924,M,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745
925,I,0.42,0.315,0.115,0.355,0.1895,0.065,0.087
926,I,0.505,0.425,0.125,0.6115,0.245,0.1375,0.2
927,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165
928,F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245
929,F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515
930,M,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31
931,F,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23
932,F,0.605,0.47,0.155,0.974,0.393,0.224,0.3345
933,F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435
934,F,0.63,0.475,0.15,1.172,0.536,0.254,0.316
935,I,0.415,0.325,0.1,0.385,0.167,0.08,0.125
936,M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295
937,M,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535
938,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135
939,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475
940,F,0.57,0.445,0.15,0.995,0.504,0.185,0.2505
941,M,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.104
942,F,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985
943,I,0.44,0.305,0.115,0.379,0.162,0.091,0.11
944,M,0.6,0.465,0.165,1.0475,0.465,0.2345,0.315
945,M,0.6,0.45,0.16,1.142,0.539,0.225,0.307
946,F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185
947,F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335
948,M,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315
949,I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16
950,M,0.61,0.47,0.165,1.052,0.498,0.242,0.267
951,F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32
952,F,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655
953,F,0.515,0.395,0.14,0.686,0.281,0.1255,0.22
954,M,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4
955,I,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115
956,F,0.57,0.45,0.18,0.908,0.4015,0.217,0.255
957,I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045
958,F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26
959,I,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306
960,F,0.535,0.445,0.125,0.8725,0.417,0.199,0.24
961,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06
962,M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125
963,M,0.565,0.44,0.185,0.909,0.344,0.2325,0.255
964,I,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835
965,F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33
966,I,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05
967,M,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36
968,M,0.77,0.6,0.215,2.1945,1.0515,0.482,0.584
969,I,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22
970,I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14
971,F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575
972,F,0.72,0.55,0.18,1.52,0.637,0.325,0.435
973,M,0.655,0.545,0.19,1.4245,0.6325,0.333,0.378
974,M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475
975,I,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075
976,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095
977,I,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105
978,I,0.63,0.465,0.15,1.0315,0.4265,0.24,0.325
979,I,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04
980,F,0.6,0.46,0.155,0.9735,0.427,0.2045,0.3
981,F,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273
982,F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32
983,M,0.65,0.525,0.175,1.4715,0.675,0.315,0.399
984,F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391
985,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875
986,M,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045
987,F,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33
988,M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235
989,F,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349
990,F,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085
991,I,0.47,0.4,0.16,0.51,0.1615,0.073,0.198
992,I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225
993,F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315
994,M,0.575,0.45,0.165,0.9655,0.498,0.19,0.23
995,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13
996,I,0.43,0.34,0.11,0.3645,0.159,0.0855,0.105
997,F,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335
998,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085
999,F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18
1000,M,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3
